"","MSA","data.Population.25.64","data.Percent.College.Grad","data.Top.Science.Grad.Programs","data.Top.Science.Undergraduates","data.Patents.per.Worker","data.Average.House.Price","data.Violent.Crimes.per.Capita","data.Commute.Less.than.30.min","Longitude","Latitude","Year","MSA code","closest MSA in hours","Total Population","Working Age Population","Percent College Grad","Top 20 Grad Programs","Ugrads to Top 20 per Year","House Price","% Commute < 30 minutes","Viol Crime per 1000","Patent /1000 work","Kauffman","Site selection","Total Sq Feet","Underused Sq Feet","acres land","Top 50 Grad programs","govt at univ R&D per capita"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Akron/Canton-Massillon, OH",25,75,82,50,17,16,29,57,-81.52151,40.79672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Albany-Schenectady-Troy, NY",33,11,22,20,5,82,30,70,-73.69179,42.72841,2016,10580,"<1 to pittsfield","881839","460119","0.37","4","48.3","237213","0.68","2.734059095","1.103995085",0,"0",6079857,"386733","4643","15","1091"
"4","Albuquerque, NM",32,39,98,55,33,84,101,69,-106.651137,35.084491,2016,10740,"1 to santa fe","913924","482135","0.32","0","14.2","237665","0.69","7.233643055","0.381848633",0,"0",17344434,"205014","38109","8","518"
"5","Allentown-Bethlehem-Easton, PA-NJ",36,70,60,29,20,78,7,88,-75.458171,40.626343,2016,10900,"1.5 to bloomsberg","835652","437495","0.28","0","31.5","229476","0.63","1.833299041","0.535722315",0,"0",127956,"187.5","0","4","173"
"6","Ames/Des Moines-West Des Moines, IA",44,7,20,19,21,61,35,18,-93.625637,41.519276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ann Arbor/Jackson, MI",60,1,2,3,2,94,47,67,-84.40135,42.24587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Appleton/Green Bay/Oshkosh, WI",42,82,75,48,46,37,4,15,-88.530896,44.012378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Asheville, NC",65,32,61,82,74,83,8,36,-82.567281,35.602711,2016,11700,"nothing","452319","237213","0.33","0","5.5","237545","0.75","1.989746213","0.17945008",0,"0",1351801,"4130","110","0","14"
"10","Atlanta-Sandy Springs-Roswell, GA",3,9,6,6,37,98,65,102,-84.495858,33.796385,2016,12060,"1.75 to athens; 1.5 to macon; 1.5 to  Rome","5790210","3138837","0.38","16","110.5","256465","0.49","3.936778545","0.396376491",1,"1",16331676,"5088","642","32","478"
"11","Atlantic City-Hammonton, NJ",90,80,46,87,101,97,64,52,-74.47876,39.375851,2016,12100,"","270991","140853","0.28","0","3.4","255090","0.72","3.922639608","0.052131005",0,"0",786352,"7326","10026","0","3"
"12","Auburn-Opelika/Columbus, GA-AL",66,65,71,62,88,31,60,49,-84.97823,32.472864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Baton Rouge, LA",37,89,28,42,89,62,81,86,-91.185607,30.44924,2016,12940,"1.75 to laffayette; 1.75 to NO","835175","433689","0.27","3","22.1","209586","0.64","5.066962242","0.109516859",0,"1",562423,"31620","535","13","1009"
"14","Battle Creek/Kalamazoo-Portage, MI",68,59,44,40,52,13,6,23,-85.58,42.20115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Binghamton/Ithaca, NY",80,22,4,1,7,10,13,7,-76.483999,42.402794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Birmingham-Hoover, AL",23,55,31,61,93,52,88,91,-86.764855,33.572334,2016,13820,"none","1147417","606349","0.30","2","12.5","200532","0.61","5.408571243","0.091721557",0,"0",2726514,"0","159","8","938"
"17","Blacksburg-Christiansburg-Radford/Roanoke, VA",62,67,11,13,29,73,9,85,-79.88735,37.496556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Bloomington/Champaign-Urbana, IL",73,2,3,4,19,24,22,6,-88.20727,40.11059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Bloomington/Columbus, IN",97,13,12,23,10,51,11,10,-86.046816,38.880293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Boise City, ID",46,43,91,81,4,88,14,47,-116.354524,43.64003,2016,14260,"nothing","690214","355050","0.31","0","5.6","240739","0.73","2.212357283","1.798830271",0,"0",4750517,"0","1038","0","1"
"21","Buffalo-Cheektowaga-Niagara Falls, NY",24,41,36,36,53,20,69,38,-76.496624,42.452813,2016,15380,"nothing","1132804","599076","0.32","2","25.3","171693","0.74","4.328727722","0.296772271",0,"0",3155323,"0","835","11","638"
"22","Cedar Rapids/Iowa City, IA",70,8,29,24,15,65,12,17,-91.516902,41.666427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Charlotte-Concord-Gastonia, NC-SC",7,24,58,43,62,93,59,94,-81.1873,35.26208,2016,16740,"","2474314","1340349","0.34","0","22.1","251947","0.59","3.732384443","0.261365473",1,"0",2542361,"3000","330","2","30"
"24","Chattanooga, TN-GA",55,97,74,86,91,41,95,71,-85.206426,35.017818,2016,16860,"1.75 to huntsville","551200","292076","0.26","0","4.1","190005","0.68","5.869012833","0.10460443",0,"0",1009844,"289019","2928","0","1"
"25","Cincinnati, OH-KY-IN",13,33,62,26,22,56,26,80,-84.53822,39.166759,2016,17140,"1.5 to lexington, ky;","2161441","1134241","0.33","0","37.3","205151","0.65","2.585971117","0.523624539",1,"1",5129487,"85478","1138","7","408"
"26","Clarksville/Nashville-Davidson--Murfreesboro--Franklin, TN-KY",12,35,25,27,84,102,92,98,-86.839847,36.207411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Cleveland-Elyria, OH",16,53,18,10,25,33,49,83,-81.596226,41.547929,2016,17460,"","2055612","1076766","0.30","5","78.5","182174","0.64","3.320599079","0.463887006",1,"0",5609452,"163947","358","18","474"
"28","College Station-Bryan, TX",98,21,9,15,50,67,32,3,-96.341465,30.623317,2016,17780,"1.5 to waco; 1.75 to houston","254716","113895","0.35","13","61.9","216364","0.86","2.759936571","0.420909047",0,"0",216417,"2444","457","30","7022"
"29","Columbia, SC",39,34,81,57,81,32,93,82,-81.024864,33.987454,2016,17900,"1.25 to augusta, GA","816450","422911","0.33","0","13.4","181120","0.64","5.69583416","0.148925826",0,"0",12717080,"90182.07813","52185","9","578"
"30","Columbia/Jefferson City, MO",81,19,24,35,79,40,39,13,-92.165194,38.494029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Columbus, OH",15,18,8,11,48,71,34,74,-83.013402,40.100924,2016,18140,"","2041520","1108622","0.36","14","77.5","217984","0.67","2.829596043","0.348780632",1,"1",5415669,"0","1057","39","798"
"32","Dallas-Fort Worth-Arlington, TX",1,28,32,34,28,95,45,99,-97.10807,32.73569,2016,19100,"","7232599","3870460","0.34","2","27.6","253429","0.55","3.189586401","0.484574586",1,"1",14635821,"0","3341","8","205"
"33","Daphne-Fairhope-Foley/Mobile, AL",49,99,59,92,96,36,51,90,-88.103184,30.701142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Davenport-Moline-Rock Island, IA-IL",76,94,79,76,54,14,54,14,-90.563736,41.536251,2016,19340,"1.25 to dubuqe; 1.5 to cedar rapids","383352","196641","0.26","0","6.6","166486","0.80","3.505347729","0.280071646",0,"0",7926688,"0","1220","0","26"
"35","Dayton, OH",40,83,51,51,35,5,31,34,-84.268593,39.750471,2016,19380,"0.5 to springfield; 1.25 to columbus; 1 to cincy","800683","409517","0.27","0","16.5","153185","0.75","2.738707304","0.377094537",0,"1",18530646,"202002","7774","2","557"
"36","Decatur/Springfield, IL",82,51,53,95,73,3,97,5,-87.833259,42.311344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Detroit-Warren-Dearborn, MI",4,52,49,60,6,48,86,97,-83.17631,42.32226,2016,19820,"","4297617","2297435","0.30","0","13.0","197168","0.59","5.329926491","0.831779838",1,"0",10226916,"0","3652","3","145"
"38","Duluth, MN-WI",88,101,69,67,86,26,16,28,-92.001934,47.005566,2016,20260,"nothing","279227","141882","0.25","0","9.5","178028","0.77","2.238322258","0.123732172",0,"0",893731,"3305","1079","0","40"
"39","Erie, PA",87,76,56,68,43,11,18,16,-80.088919,42.121293,2016,21500,"1.5 to buffalo or cleveland","276207","142947","0.28","0","8.6","163503","0.80","2.309861898","0.330098778",0,"0",469645,"0","20","0","9"
"40","Eugene, OR",79,68,83,41,55,100,17,12,-123.080181,44.067988,2016,21660,"","369519","185066","0.29","0","22.3","261652","0.80","2.247885466","0.276688963",0,"0",699244,"13105","532","7","529"
"41","Fargo, ND-MN",95,6,85,56,49,80,23,1,-96.834703,46.927094,2016,22020,"1.25 to grand forks","238124","120606","0.39","0","13.5","230780","0.88","2.423107386","0.440714866",0,"0",1283522,"4246","418","1","1026"
"42","Fayetteville-Springdale-Rogers, AR-MO",59,47,84,64,82,57,27,32,-94.233876,36.042826,2016,22220,"nothing","527153","265130","0.31","0","11.2","205268","0.76","2.587484121","0.157551602",0,"0",847538,"0","104","0","491"
"43","Fort Wayne, IN",71,86,63,96,41,2,15,26,-85.12886,41.130604,2016,23060,"1.75 to south bend","431802","220100","0.27","0","2.5","144706","0.77","2.213977814","0.376808256",0,"0",1918084,"1067127","216","0","0"
"44","Gainesville, FL",92,10,17,9,18,53,87,46,-82.324515,29.648993,2016,23540,"1.5 to jacksonville","281796","134473","0.38","7","88.6","201293","0.73","5.347840309","0.571493208",0,"0",1615055,"8964","175","30","5221"
"45","Grand Rapids-Wyoming, MI",27,40,99,32,31,47,41,33,-85.588037,42.99331,2016,24340,"0.75 to kalamazoo, 1 to lansing, 1.25 to battle creek","1047099","540324","0.32","0","29.4","197114","0.76","3.077009201","0.456723928",0,"0",695450,"0","10","0","24"
"46","Greensboro-High Point, NC",41,72,57,54,57,29,43,45,-79.748189,36.079657,2016,24660,"0.5 to winston salem; <1 to durham","756139","394669","0.28","0","14.3","179018","0.73","3.16525507","0.2629278",0,"1",501177,"23926","0","2","138"
"47","Greenville-Anderson-Mauldin, SC",34,69,35,30,11,50,83,65,-82.473846,34.951295,2016,24860,"0.75 to spartanburg","884975","455763","0.29","2","30.5","198065","0.69","5.235422611","0.70077306",0,"1",205651,"0","2","7","431"
"48","Greenville/New Bern, NC",86,74,68,84,77,21,21,31,-77.09,35.087878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Harrisburg-Carlisle, PA",53,36,93,53,36,63,20,50,-76.829482,40.253789,2016,25420,"","568033","301411","0.33","0","14.5","210512","0.72","2.353736401","0.402664304",0,"0",22150858,"0","2754","0","7"
"50","Houston-The Woodlands-Sugar Land, TX",2,37,15,16,24,96,89,101,-97.397205,30.406454,2016,26420,"","6772470","3619622","0.32","8","60.5","253481","0.51","5.409252644","0.545435429",1,"1",8119380,"91628","1916","24","393"
"51","Huntsville, AL",63,14,89,78,14,69,73,59,-86.556439,34.718428,2016,26620,"0.5 to decatur","449720","242860","0.37","0","6.5","217050","0.71","4.675434589","0.622597158",0,"0",15883976,"22233","31252","1","373"
"52","Idaho Falls/Pocatello, ID",100,56,52,93,38,30,5,8,-112.447089,42.855167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Indianapolis-Carmel-Anderson/Lafayette-West Lafayette, IN",11,29,5,8,27,46,90,76,-86.884913,40.393226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Jackson, MS",52,57,90,80,99,34,53,79,-90.18481,32.29876,2016,27140," ","580178","302955","0.30","0","5.9","183024","0.66","3.446473598","0.05920174",0,"0",2757469,"3711","1425","0","189"
"55","Jacksonville, FL",18,50,96,88,80,90,80,96,-81.65565,30.33218,2016,27260,"","1478212","795465","0.31","0","3.3","244408","0.59","5.064226151","0.152755275",1,"0",15809722,"0","13749","0","11"
"56","Janesville-Beloit/Madison, WI",38,3,1,2,12,99,96,40,-89.423861,43.06956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Johnson City, TN",101,100,78,90,75,23,36,54,-82.317625,36.330485,2016,27740,"1.5 to knoxville","200449","102176","0.26","0","3.2","175632","0.72","2.903481722","0.144412458",0,"0",897046,"0","188","0","107"
"58","Kansas City, MO-KS",14,16,45,74,34,70,76,73,-94.598583,39.102404,2016,28140,"","2104115","1117866","0.37","1","6.9","217714","0.68","4.747363091","0.426915675",1,"0",21021482,"1841434.25","7197","2","27"
"59","Kennewick-Richland, WA",89,98,47,102,39,74,10,29,-119.28446,46.28569,2016,28420,"nothing","283846","141204","0.26","0","0.0","223893","0.77","2.008131266","0.390049756",0,"0",4274665,"864764","375247","0","0"
"60","Knoxville, TN",35,63,38,39,40,64,58,68,-83.92074,35.96064,2016,28940,"nothing","869076","448270","0.29","2","24.0","210762","0.69","3.695879221","0.349138677",0,"0",9060753,"1360330","36032","10","771"
"61","Lancaster, PA",57,102,92,46,47,87,3,66,-76.31068,40.076553,2016,29540,"<1 to harrisburg","538500","269075","0.25","0","18.1","239890","0.69","1.626740932","0.358142048",0,"0",13998,"1000","6","0","16"
"62","Lansing-East Lansing, MI",67,27,10,17,69,12,67,24,-84.56566,42.748301,2016,29620,"","475099","234429","0.34","12","60.5","165110","0.78","4.077868938","0.228951931",0,"0",341352,"0","50","33","1830"
"63","Lawrence/Manhattan/Topeka, KS",72,15,21,21,76,42,40,21,-95.65368,39.053473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Lexington-Fayette, KY",58,12,16,28,32,79,25,42,-84.45855,38.0498,2016,30460,"","506751","265644","0.37","7","31.6","229747","0.73","2.569309235","0.436401069",0,"0",1235354,"0","1332","15","1525"
"65","Lincoln, NE",83,4,23,33,56,60,38,9,-96.823133,40.865142,2016,30700,"1 to omaha","326591","159037","0.40","4","28.1","207597","0.82","2.921084881","0.341816604",0,"1",1546638,"3449","330","12","2150"
"66","Little Rock-North Little Rock-Conway, AR",43,49,77,79,94,45,99,63,-92.235641,34.708985,2016,30780,"","734381","382489","0.31","0","6.3","193906","0.70","6.941122532","0.097703055",0,"0",8829191,"85839.39844","50085","0","391"
"67","Logan/Ogden-Clearfield, UT-ID",45,42,30,52,42,101,1,41,-112.02605,41.11078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Louisville-Jefferson County, KY-IN",22,73,43,75,70,55,63,75,-87.153324,36.810544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Lubbock, TX",84,54,48,66,92,17,100,2,-101.85517,33.57786,2016,31180,"nothing","313910","147143","0.30","0","9.9","168381","0.88","7.175092697","0.116574265",0,"0",356262,"0","98","1","1057"
"70","Lynchburg, VA",94,91,94,85,72,49,19,62,-79.141653,37.359607,2016,31340,"1.25 to charlottesville","261167","125505","0.27","0","4.2","197672","0.70","2.311561346","0.191106051",0,"0",190925,"2913","352","0","1"
"71","Memphis, TN-MS-AR",20,81,100,71,59,25,102,81,-89.990415,35.169255,2016,32820,"","1346437","704503","0.27","0","7.5","177757","0.65","10.31954956","0.249590963",0,"0",7137691,"0","2771","1","73"
"72","Midland/Saginaw, MI",91,95,67,100,8,1,74,37,-84.038516,43.415478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Milwaukee-Waukesha-West Allis/Racine, WI",17,31,39,38,26,81,94,64,-87.675979,42.727153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Montgomery, AL",75,71,54,89,100,28,61,61,-86.257817,32.356988,2016,33860,"1.5 to birmingham","376163","198558","0.28","0","3.2","179001","0.71","3.870396614","0.051427297",0,"0",8155653,"0","3301","0","88"
"75","Morgantown/Wheeling, WV-OH",85,96,66,63,83,7,24,53,-80.647599,40.102703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","New Orleans-Metairie, LA",21,61,37,31,90,89,82,87,-90.06557,29.975154,2016,35380,"","1268883","693754","0.29","2","29.6","242642","0.63","5.147834778","0.107507654",0,"0",9170757,"899251","5709","4","349"
"77","Niles-Benton Harbor/South Bend-Mishawaka, IN-MI",64,88,40,25,23,18,52,30,-86.209993,41.687512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Oklahoma City, OK",19,58,80,45,85,43,71,56,-97.562817,35.491608,2016,36420,"","1373211","711902","0.30","0","18.5","191735","0.71","4.535667419","0.139511958",0,"0",23855920,"27205","8919","4","358"
"79","Omaha-Council Bluffs, NE-IA",30,20,55,69,78,54,55,20,-99.75067,41.50028,2016,36540,"","924495","483640","0.35","0","8.3","201646","0.78","3.563583612","0.170609251",0,"1",8320861,"628","5228","0","61"
"80","Orlando-Kissimmee-Sanford, FL",8,46,34,58,67,91,79,100,-81.440767,28.578275,2016,36740,"","2441257","1313084","0.31","2","13.4","244720","0.54","5.026918411","0.25256291",1,"0",3294486,"0","717","4","105"
"81","Palm Bay-Melbourne-Titusville, FL",54,62,33,77,13,72,75,78,-80.80755,28.61222,2016,37340,"1.25 to orlando","579130","295210","0.29","2","6.5","218377","0.66","4.738141537","0.573428571",0,"0",13479502,"719193","157332","2","46"
"82","Pensacola-Ferry Pass-Brent, FL",61,85,65,94,87,44,77,72,-87.147322,30.340147,2016,37860,"1 to mobile","485684","253046","0.27","0","2.7","193558","0.68","4.916777134","0.110468939",0,"0",11715072,"7417","15958","0","19"
"83","Peoria, IL",77,79,72,73,16,15,44,19,-89.589847,40.693137,2016,37900,"0.75 to bloomington; ","376044","193418","0.28","0","6.9","167469","0.78","3.175287008","0.550677717",0,"0",653190,"0","982","0","9"
"84","Pittsburgh, PA",10,23,7,5,30,35,37,93,-79.950968,40.47441,2016,38300,"","2342299","1249968","0.35","14","117.7","183462","0.60","2.920634747","0.404079467",1,"0",8236608,"665164","1356","40","897"
"85","Rochester, MN",99,17,50,101,1,76,2,22,-92.516916,44.075285,2016,40340,"1.25 to minny","215884","111703","0.37","0","0.0","228343","0.78","1.394267321","2.042996883",0,"0",23899,"0","54","0","0"
"86","Rochester, NY",26,30,26,12,3,19,28,35,-77.684264,43.286024,2016,40380,"1.5 to syracuse or buffalo","1078879","560566","0.34","3","69.3","170050","0.75","2.677901268","1.670443654",0,"0",512716,"71409","256","18","874"
"87","San Antonio-New Braunfels, TX",9,77,102,44,71,58,62,92,-98.528407,29.453094,2016,41700,"","2429609","1253083","0.28","0","19.3","206012","0.61","3.882369041","0.196251288",1,"0",38060340,"11822","44020","0","307"
"88","Savannah, GA",74,45,76,98,95,85,50,84,-81.088261,32.074679,2016,42340,"2 to charleston","384024","201613","0.31","0","1.7","237972","0.64","3.357900858","0.098378018",0,"0",1504553,"0","375","0","21"
"89","Sioux Falls, SD",93,25,88,97,65,77,46,4,-97.595227,44.010702,2016,43620,"nothing","256479","134124","0.34","0","2.2","228726","0.85","3.19324398","0.295508355",0,"0",718008,"0","201","0","9"
"90","Spokane-Spokane Valley, WA",56,60,101,65,61,86,42,48,-117.762554,48.124594,2016,44060,"","556264","289531","0.30","0","10.2","238538","0.73","3.093854666","0.253386289",0,"0",5298878,"0","77919","0","18"
"91","Springfield, MA",50,44,19,7,63,92,78,60,-72.604842,42.170731,2016,44140,"","630283","314523","0.31","5","102.3","248732","0.71","5.026746273","0.247383371",0,"0",3037153,"4690","2444","14","614"
"92","Springfield, MO",69,92,97,72,97,22,85,43,-93.343673,37.25807,2016,44180,"nothing","456434","224880","0.27","0","7.2","173193","0.73","5.318303585","0.080552496",0,"0",225032,"1864","294","0","40"
"93","St. Louis, MO-IL",6,26,14,14,45,66,68,89,-90.44341,38.64068,2016,41180,"","2807954","1498066","0.34","9","64.4","214825","0.62","4.2768507","0.329703391",1,"0",15637900,"1314581.625","8802","19","1078"
"94","Syracuse/Utica-Rome, NY",29,64,27,22,44,9,33,27,-75.45573,43.21285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Tallahassee, FL",78,5,64,37,68,59,98,58,-84.097649,30.56683,2016,45220,"nothing","380110","185947","0.39","0","25.3","206903","0.71","6.732261658","0.226423666",0,"0",484598,"5606","226","6","1376"
"96","Tampa-St. Petersburg-Clearwater, FL",5,66,42,47,64,75,56,95,-82.8001,27.96585,2016,45300,"","3032171","1594442","0.29","1","17.0","227918","0.59","3.574996233","0.241720125",1,"0",9615331,"0","5952","4","267"
"97","Toledo, OH",51,87,95,59,51,6,91,25,-83.569359,41.720684,2016,45780,"<1 to ann arbor; 1.25 to detroit","605221","308571","0.27","0","13.3","154983","0.78","5.547934532","0.312262625",0,"1",699623,"0","570","2","275"
"98","Tucson, AZ",31,38,13,18,9,68,70,77,-110.970869,32.217975,2016,46060,"","1016206","483186","0.32","10","58.9","216995","0.66","4.389857769","0.720310569",0,"0",8414318,"37750","9487","32","1385"
"99","Tulsa, OK",28,84,73,83,66,27,72,39,-95.992775,36.153982,2016,46140,"","987958","509518","0.27","0","5.3","179001","0.74","4.575277328","0.233585507",0,"0",1347861,"0","233","0","41"
"100","Tuscaloosa, AL",96,78,86,70,98,39,57,51,-87.569174,33.209841,2016,46220,"<1 to birmingham","239593","119045","0.28","0","7.6","188364","0.72","3.609929085","0.069382802",0,"0",731183,"6856","651","0","438"
"101","Warner Robins, GA",102,90,87,99,102,4,48,44,-83.653003,32.580403,2016,47580,"0.5 to macon","189753","100601","0.27","0","1.2","152740","0.73","3.288485527","0.038943131",0,"0",13693744,"0","6784","0","100"
"102","Wichita, KS",48,48,70,91,60,8,84,11,-97.258997,37.651974,2016,48620,"far from everything","645447","327105","0.31","0","3.2","160579","0.81","5.238512039","0.270859897",0,"0",3939299,"0","2780","0","188"
"103","Winston-Salem, NC",47,93,41,49,58,38,66,55,-80.200493,36.111102,2016,49180,"","662079","343028","0.26","1","16.7","186393","0.71","3.965058327","0.25566721",0,"0",504337,"0","0","5","699"
